Species 1,Species 2,Min AAI,Max AAI,Mean AAI
Clade17,Clade8,69.0526,69.1086,69.0806
Clade17,Clade9,67.5203,67.5203,67.5203
Clade17,CladeVNBI,69.0402,69.0834,69.0618
Clade17,CladeVNBII,69.0312,69.0529,69.042
Clade17,CladeVNI,69.0059,69.0758,69.0409
Clade17,CladeVNII,68.9508,68.9717,68.9613
Clade2,Clade2,98.9783,100.0,99.4892
Clade2,Clade3,87.1717,87.2183,87.1934
Clade2,Clade4,86.901,87.1866,87.0487
Clade2,Clade5,87.2213,87.4397,87.3371
Clade2,Clade6,87.3918,87.644,87.5326
Clade2,Clade7,87.1958,87.4792,87.352
Clade2,Clade8,87.6056,87.7142,87.6526
Clade2,Clade9,69.35,69.379,69.3645
Clade2,CladeVNBI,91.2821,91.3384,91.3115
Clade2,CladeVNBII,91.2829,91.3414,91.3054
Clade2,CladeVNI,91.2928,91.3978,91.3356
Clade2,CladeVNII,91.2045,91.33,91.2687
Clade3,Clade3,98.4402,100.0,99.2201
Clade3,Clade4,95.3533,95.5211,95.4523
Clade3,Clade5,94.7367,95.0407,94.9126
Clade3,Clade6,94.5823,94.9476,94.7765
Clade3,Clade7,94.5237,94.8224,94.6799
Clade3,Clade8,94.0576,94.2489,94.1711
Clade3,Clade9,68.9959,69.0288,69.0123
Clade3,CladeVNBI,87.0527,87.096,87.0704
Clade3,CladeVNBII,87.03,87.0743,87.0585
Clade3,CladeVNI,86.9604,87.1872,87.0717
Clade3,CladeVNII,86.9652,87.0618,87.0165
Clade4,Clade4,98.1573,100.0,99.0786
Clade4,Clade5,93.9989,94.5703,94.2587
Clade4,Clade6,93.9429,94.3102,94.1717
Clade4,Clade7,93.8345,94.3864,94.073
Clade4,Clade8,93.3711,93.853,93.647
Clade4,Clade9,69.0501,69.2049,69.1275
Clade4,CladeVNBI,86.7977,87.1378,86.9653
Clade4,CladeVNBII,86.77,87.1398,86.974
Clade4,CladeVNI,86.728,87.2363,86.998
Clade4,CladeVNII,86.7262,87.0828,86.9058
Clade5,Clade5,98.7653,100.0,99.3826
Clade5,Clade6,94.9935,95.3606,95.1896
Clade5,Clade7,94.8808,95.3271,95.0621
Clade5,Clade8,94.1836,94.5433,94.3849
Clade5,Clade9,69.0923,69.2801,69.1862
Clade5,CladeVNBI,87.0669,87.395,87.2439
Clade5,CladeVNBII,87.0896,87.4068,87.2492
Clade5,CladeVNI,87.0663,87.4354,87.2586
Clade5,CladeVNII,87.072,87.3503,87.2069
Clade6,Clade6,98.4939,100.0,99.2469
Clade6,Clade7,95.2081,95.6111,95.438
Clade6,Clade8,94.496,94.7727,94.6067
Clade6,Clade9,69.1124,69.4726,69.2925
Clade6,CladeVNBI,87.3251,87.6013,87.4715
Clade6,CladeVNBII,87.3416,87.5995,87.4718
Clade6,CladeVNI,87.2442,87.6988,87.4733
Clade6,CladeVNII,87.2925,87.5631,87.4375
Clade7,Clade7,98.4934,100.0,99.2467
Clade7,Clade8,94.185,94.5929,94.4024
Clade7,Clade9,69.0435,69.2067,69.1251
Clade7,CladeVNBI,87.1157,87.4759,87.2997
Clade7,CladeVNBII,87.1433,87.5036,87.3202
Clade7,CladeVNI,87.0517,87.4874,87.2967
Clade7,CladeVNII,87.0393,87.3955,87.2287
Clade8,Clade8,98.86,100.0,99.43
Clade8,Clade9,69.2573,69.3376,69.2974
Clade8,CladeVNBI,87.6011,87.6506,87.6278
Clade8,CladeVNBII,87.6058,87.6654,87.6393
Clade8,CladeVNI,87.5699,87.7666,87.6637
Clade8,CladeVNII,87.5464,87.6724,87.6089
Clade9,Clade9,100.0,100.0,100.0
Clade9,CladeVNBI,69.337,69.3816,69.3593
Clade9,CladeVNBII,69.3398,69.3876,69.3637
Clade9,CladeVNI,69.3588,69.3772,69.368
