Species 1,Species 2,Min AAI,Max AAI,Mean AAI
Cryptococcus depauperatus,Cryptococcus fructiofici,66.3475,66.3868,66.3672
Cryptococcus depauperatus,Cryptococcus gattii,68.5376,68.6897,68.6216
Cryptococcus depauperatus,Cryptococcus hyracis,68.6244,69.0066,68.8146
Cryptococcus depauperatus,Cryptococcus jaspeensis,66.6458,66.6943,66.67
Cryptococcus depauperatus,Cryptococcus maquisensis,66.8304,66.8465,66.8385
Cryptococcus depauperatus,Cryptococcus neoformans,68.5558,68.852,68.6684
Cryptococcus depauperatus,Cryptococcus porticicola,65.8691,66.3471,66.1231
Cryptococcus depauperatus,Cryptococcus tetragattii,68.5438,68.7256,68.63
Cryptococcus depauperatus,Cryptococcus wingfieldii,66.8095,66.8351,66.8223
Cryptococcus deuterogattii,Cryptococcus deuterogattii,98.86,100.0,99.43
Cryptococcus deuterogattii,Cryptococcus floricola,69.3897,69.4058,69.3978
Cryptococcus deuterogattii,Cryptococcus fructiofici,68.6704,68.6862,68.6783
Cryptococcus deuterogattii,Cryptococcus gattii,94.1836,94.5433,94.3849
Cryptococcus deuterogattii,Cryptococcus hyracis,94.496,94.7727,94.6067
Cryptococcus deuterogattii,Cryptococcus jaspeensis,69.0526,69.1086,69.0806
Cryptococcus deuterogattii,Cryptococcus maquisensis,69.3806,69.3873,69.384
Cryptococcus deuterogattii,Cryptococcus neoformans,87.5464,87.7666,87.6349
Cryptococcus deuterogattii,Cryptococcus porticicola,68.1,68.6666,68.4497
Cryptococcus deuterogattii,Cryptococcus tetragattii,94.185,94.5929,94.4024
Cryptococcus deuterogattii,Cryptococcus wingfieldii,69.289,69.329,69.309
Cryptococcus floricola,Cryptococcus floricola,100.0,100.0,100.0
Cryptococcus floricola,Cryptococcus fructiofici,67.0088,67.0088,67.0088
Cryptococcus floricola,Cryptococcus gattii,69.0634,69.2398,69.1516
Cryptococcus floricola,Cryptococcus hyracis,69.1228,69.5442,69.3335
Cryptococcus floricola,Cryptococcus jaspeensis,67.4505,67.4505,67.4505
Cryptococcus floricola,Cryptococcus maquisensis,84.5528,84.5528,84.5528
Cryptococcus floricola,Cryptococcus neoformans,69.2386,69.3921,69.2911
Cryptococcus floricola,Cryptococcus porticicola,66.5642,67.0806,66.8683
Cryptococcus floricola,Cryptococcus tetragattii,69.0876,69.2824,69.185
Cryptococcus floricola,Cryptococcus wingfieldii,94.1877,94.1877,94.1877
Cryptococcus fructiofici,Cryptococcus fructiofici,100.0,100.0,100.0
Cryptococcus fructiofici,Cryptococcus gattii,68.3753,68.6131,68.4942
Cryptococcus fructiofici,Cryptococcus hyracis,68.4254,68.8773,68.6513
Cryptococcus fructiofici,Cryptococcus jaspeensis,89.2162,89.2162,89.2162
Cryptococcus fructiofici,Cryptococcus maquisensis,67.1182,67.1182,67.1182
Cryptococcus fructiofici,Cryptococcus neoformans,68.5833,68.7308,68.648
Cryptococcus fructiofici,Cryptococcus porticicola,81.4016,82.1357,81.8813
Cryptococcus fructiofici,Cryptococcus tetragattii,68.3126,68.5866,68.4496
Cryptococcus fructiofici,Cryptococcus wingfieldii,67.0438,67.0438,67.0438
Cryptococcus gattii,Cryptococcus gattii,98.7653,100.0,99.3826
Cryptococcus gattii,Cryptococcus hyracis,94.9935,95.3606,95.1896
Cryptococcus gattii,Cryptococcus jaspeensis,68.8445,69.0728,68.9586
Cryptococcus gattii,Cryptococcus maquisensis,69.0958,69.2648,69.1803
Cryptococcus gattii,Cryptococcus neoformans,87.0663,87.4354,87.2396
Cryptococcus gattii,Cryptococcus porticicola,67.9115,68.5479,68.293
Cryptococcus gattii,Cryptococcus tetragattii,94.8808,95.3271,95.0621
Cryptococcus gattii,Cryptococcus wingfieldii,69.049,69.2242,69.1366
Cryptococcus hyracis,Cryptococcus hyracis,98.4939,100.0,99.2469
Cryptococcus hyracis,Cryptococcus jaspeensis,68.8969,69.3299,69.1134
Cryptococcus hyracis,Cryptococcus maquisensis,69.1176,69.5713,69.3445
Cryptococcus hyracis,Cryptococcus neoformans,87.2442,87.6988,87.4635
Cryptococcus hyracis,Cryptococcus porticicola,67.9135,68.7714,68.4074
Cryptococcus hyracis,Cryptococcus tetragattii,95.2081,95.6111,95.438
Cryptococcus hyracis,Cryptococcus wingfieldii,69.0144,69.4642,69.2393
Cryptococcus jaspeensis,Cryptococcus jaspeensis,100.0,100.0,100.0
Cryptococcus jaspeensis,Cryptococcus maquisensis,67.4945,67.4945,67.4945
Cryptococcus jaspeensis,Cryptococcus neoformans,68.9508,69.0834,69.0265
Cryptococcus jaspeensis,Cryptococcus porticicola,81.9081,82.6864,82.4594
Cryptococcus jaspeensis,Cryptococcus tetragattii,68.8409,69.0596,68.9502
Cryptococcus jaspeensis,Cryptococcus wingfieldii,67.4334,67.4334,67.4334
Cryptococcus maquisensis,Cryptococcus maquisensis,100.0,100.0,100.0
Cryptococcus maquisensis,Cryptococcus neoformans,69.29,69.4272,69.3436
Cryptococcus maquisensis,Cryptococcus porticicola,66.6024,67.0603,66.8848
Cryptococcus maquisensis,Cryptococcus tetragattii,68.9928,69.214,69.1034
Cryptococcus maquisensis,Cryptococcus wingfieldii,84.4176,84.4176,84.4176
Cryptococcus neoformans,Cryptococcus neoformans,97.3905,100.0,98.2704
Cryptococcus neoformans,Cryptococcus porticicola,67.9777,68.6706,68.3547
Cryptococcus neoformans,Cryptococcus tetragattii,87.0393,87.5036,87.2863
Cryptococcus neoformans,Cryptococcus wingfieldii,69.1998,69.3717,69.266
Cryptococcus porticicola,Cryptococcus porticicola,97.6558,100.0,98.7346
Cryptococcus porticicola,Cryptococcus tetragattii,67.9108,68.557,68.2898
Cryptococcus porticicola,Cryptococcus wingfieldii,66.5478,67.0436,66.8506
Cryptococcus tetragattii,Cryptococcus tetragattii,98.4934,100.0,99.2467
Cryptococcus tetragattii,Cryptococcus wingfieldii,68.9837,69.2552,69.1194
Cryptococcus wingfieldii,Cryptococcus wingfieldii,100.0,100.0,100.0
